name,line
Shanghai,What's with the effect?
Shanghai,I don't want to die!!
Hourai,I see...
Hourai,So that's your ability?
Shanghai,Will you approve of me now?
Hourai,That ability is certainly specialized in defense.
Shanghai,Then...
Hourai,"But, how will that defeat the enemy?"
Hourai,"If you don't defeat them, no matter how long you stand there, the attacks won't stop coming."
Shanghai,Uuu...
Marisa,Then just work together.
Marisa,Right?
Hourai,This has nothing to do with you.
Marisa,"Don't bully Shanghai so much, Hourai."
Marisa,"That's not very mature, you know?"
Hourai,I was just testing her!
Hourai,She can't protect Alice like this!!
Marisa,Don't be so impatient.
Hourai,I'm not impatient!
Marisa,"Anyway, here, you got a reply."
Marisa,"Make sure you're not found out while reading it, okay?"
Hourai,Eh? Y-yeah...
Marisa,Then this is where I take my leave!
Marisa,"Get along, you two!"
Shanghai,"Yes, Marisa!"
Marisa,"Also, Hourai, come here for a bit."
Hourai,What?
Marisa,She doesn't want to ruin the dress you made after all that effort.
Marisa,So try to sympathize with her.
Marisa,See ya!
Hourai,...
Shanghai,Big sis?
Hourai,Ah..
Hourai,Well....
Hourai,Umm..
Hourai,I went overboard...
Shanghai,Huh?
Shanghai,Who could that be?
Alice,Who is it?
Alice,Marisa?
Alice,Did you forget something?
Alice,SHANGHAI!
Alice,HOURAI!
Alice,What is it?
Alice,What do you want?
Yuuka,I'm the one who should be asking 'what'
Yuuka,Isn't this a bit too much?
Alice,What do you want?
Yuuka,"Nothing, I just came to pay a visit."
Yuuka,This isn't very nice of you...
Alice,To... visit?
Yuuka,See?
Yuuka,I even bought some snacks from the human village.
Yuuka,How about we have this with some tea?
Alice,...
Yuuka,You don't have to be so on alert...
Yuuka,I won't do anything.
Alice,Fine... come in.
Yuuka,Yaay <3
Yuuka,"You live alone, yet this is a pretty big house."
Alice,I'm not alone.
Yuuka,I see.
Yuuka,"But dolls don't really have emotions, right?"
Yuuka,That's where flowers are better.
Yuuka,They show many sides of themselves.
Alice,But an autonomous doll does exist.
Yuuka,Huh?
Alice,I saw one before...
Hourai,D-don't worry!
Hourai,It doesn't seem it's about us...
Hourai,I think!
Alice,"I don't know how, why or who made it..."
Alice,"But one day, I'll..."
Alice,HEY!
Alice,What are you doing !?
Yuuka,Huh?
Yuuka,"Well, I don't really get to see the inside of a magician's house..."
Yuuka,"So I'm exploring, exploring!"
Alice,What about tea?
Yuuka,Make~ it~ later~!
Alice,HEY!
Alice,Wait!
Shanghai,Sis...
Hourai,Yeah ...
Hourai,Aside from us...
Hourai,There's another doll.
Hourai,Who can move independently.
Marisa,Here.
Marisa,Could you not make me steal anymore stuff?
Patchouli,I'm simply employing a specialist.
Patchouli,"Besides, it is way too late for you to act like a good girls now."
Patchouli,You're not at all convincing.
Marisa,"So, what are you researching now?"
Marisa,Didn't you examine Shanghai and Hourai?
Patchouli,This girl has yet to move by itself...
Patchouli,So I have to investigate any and all possibilities.
Marisa,Is that so?
Marisa,But to think Alice's main objective is right in front of her eyes!
Patchouli,"As things are right now, I wouldn't say that she has reached her goal though..."
Marisa,"But it could become a hint for her, right?"
Marisa,"After all, magicians use anything they can to obtain knowledge."
Patchouli,Those words also befit you really well.... Miss little thief.
Marisa,Don't praise me!
Marisa,I'll blush!
Patchouli,"But ultimately, to tirelessly inquire, is what makes magicians, magicians."
Alice,"Hey, you invited me and said let's have tea..."
Alice,So how did it turn into this?
Yuuka,"You also need to get a little sun dried once in a while, not just your dolls."
Alice,That's not a good reason.
Alice,"First, you'll have to explain starting from the moment you forgot about having tea."
Alice,"Second, I'm not that seclusive."
Alice,"Third, explain why we are walking when..."
Yuuka,Magicians sure like to argue...
Yuuka,"Look, while you were saying all that, we made it."
Alice,Ha?
Yuuka,To the Field of the sun
Alice,The flowers are all facing this way...
Alice,Did you use your ability?
Yuuka,"That's right, today is special"
Yuuka,I have three guests here after all!
Alice,Better not do that to me...
Alice,"This pretty scene is nice and all, but isn't there any tree shade?"
Alice,My feet are numb.
Yuuka,That's what a hike is a ll about.
Shanghai,"Sister, is that person a bad person?"
Hourai,Dunno...
Hourai,"But if anything happens, we have to protect Alice."
Shanghai,That's right!
Hourai,Get down!
Shanghai,Hyah!?
Hourai,It's gone?
Shanghai,W-what's wrong?
Hourai,No... it's nothing.
Alice,This place sure is full of sunflowers.
Alice,Are you always here during the summer?
Yuuka,Of course.
Yuuka,"During the Fall, with the Fall flowers."
Yuuka,"And during winter, with the winter flowers."
Alice,I'd be happy if other youkai also had such peaceful ideas like that.
Yuuka,"By the way, doesn't this tea taste a bit strange?"
Alice,"Oh, that's the black tea Marisa made with mushrooms."
Yuuka,Black tea... mushrooms??
Alice,"Apparently, it's good for your health."
Alice,I've never drank it though.
Yuuka,"Eh... it's safe to drink this, right?"
Alice,I don't know.
Yuuka,HEY!
Yuuka,"That was given to you, so you drink it!"
Alice,No way I'll drink that suspicious stuff!
Yuuka,"Hey, wait a minute!"
Marisa,ACHOO!
Patchouli,Summer cold?
Marisa,"Nah, I'm sure Alice is talking about me."
Marisa,Saying how super delicious my black tea with mushrooms is!
Patchouli,I see.
Marisa,that's it?
Marisa,Have a bit more interest in it!
Marisa,'What's black tea with mushrooms?' something like that!
Patchouli,It raises no interest whatsoever.
Marisa,That bluntly?
Alice,"It's about time to go home, it's going to get dark soon."
Yuuka,I didn't think you'd read a book even after coming all this way...
Alice,"I can't help it, it's a daily routine."
Alice,"Oh yeah, about that autonomous doll I mentioned before."
Alice,I saw it at the Nameless Hill.
Alice,"It's close to here, right?"
Alice,Have you ever seen it Yuuka?
Yuuka,"Hmm, there are plenty of youkai, but I have no recollection of an autonomous doll."
Alice,I see...
Yuuka,Then can I ask something too?
Alice,What is it?
Yuuka,Has there been any strange things happening around you?
Yuuka,"Like restless animals, or plants strangely growing too fast?"
Alice,I don't know...
Alice,There aren't many animals in the Forest of Magic.
Alice,And it has always been a treasure cove of giant mushrooms...
Yuuka,"I used bad examples, I see..."
Yuuka,"Well, neve rmind, don't worry about it."
Alice,"If it's a fight between youkai don't get me involved, okay?"
Yuuka,"Yeah, okay."
Alice,"Well, thanks for today!"
Alice,It was better than I thought.
Yuuka,Are we now considered friends?
Hourai,What did she...?
Alice,"Sorry, but I have to refuse."
Yuuka,But of course.
Alice,"Okay, until next time."
Yuuka,Yes.
Yuuka,"How was it, Medi?"
Yuuka,"Those two dolls were moving by themselves, right?"
Medicine,Yeah... but...
Medicine,That girl in red... something was odd about her...
Yuuka,Really?
Yuuka,It appears we need to investigate a bit more...
Hourai,"And, here we go!"
Shanghai,"Ah, you're going to read your letter?"
Hourai,!!!
Hourai,Don't look!
Shanghai,Why not~?
Shanghai,Please let me see~!
Hourai,No way!!!
Hourai,This is between Alice and I... a secret between friends!
Shanghai,Muu...
Hourai,That's too bad...
Shanghai,Big Sis?
Shanghai,What's wrong?
Hourai,It's her...
Shanghai,Huh?
Hourai,The other doll which can move by itself!
Shanghai,Sis...
Hourai,Yeah...
Hourai,"She's different from us, and also more dangerous."
Hourai,Where is she looking?
Hourai,"Shanghai, hurry!"
Hourai,To the front door!
Alice,Ah...
Alice,You are...
Medicine,Nuisance.
Medicine,!!!
Medicine,Blue one...
Medicine,Red one!!
Medicine,Strong!!
Hourai,Final blow!!
Alice,Stop right there!!
Hourai,A... Alice?
Alice,"I'm sorry, it seems the automatic defense system was activated."
Alice,"You are an autonomous doll, aren't you?"
Shanghai,...
Hourai,Alice!
Alice,Please don't be so alarmed.
Alice,I'll put down the weapons.
Hourai,"What are you saying, Alice?"
Hourai,She tried to kill you...
Alice,"Hurry, put them down, Hourai."
Alice,This is an order.
Hourai,But Alice!!
Alice,Strange... did I make a mistake in the automatic defense system?
Medicine,"Hey, Hourai."
Alice,What would you do if you were to hurt this child even more than this?
Hourai,A... Alice...
Alice,"Hey, my name is alice."
Alice,What's yours?
Medicine,Medicine.
Hourai,"Alice, why?"
Alice,Medicine? What a cute name!
Hourai,What's so good about her?
Hourai,I'm way stronger than she is...
Alice,"Hey, Medi."
Alice,I've always searched for a girl like you!
Hourai,I made Shanghai's clothes for you!
Hourai,I learned to write just to write you letters!
Hourai,"I still can't write properly, but I'll practice more and more and more so..."
Medicine,Like me?
Alice,"Hey, Medi, want to come into my house?"
Alice,I'm sure I'll be able to fix this arm of yours.
Hourai,Didn't you make friends with me because of who I am?
Alice,"Also, I have many things to ask you."
Alice,Like why you attacked me.
Hourai,Are you  saying I'm the same as someone like her???
Alice,"So please, Medi..."
Hourai,"No, Alice!!!"
Hourai,Don't say it!!
Alice,Let's be friends.
Marisa,"To tirelessly inquire is what makes magicians, magicians."
Marisa,Was it?
Alice,"Mommy, mommy, look!"
Alice,"This time, I made these clothes!"
Shinki,"Oh my, those are some cute clothes!"
Shinki,That's great Alice.
Alice,Ehehe~!
Alice,"This time, you see, I tried working hard even on parts you can't see!"
Alice,The frills inside the skirt look great!
Alice,Look!
Shinki,"Alice, it's fine to play with you dolls."
Shinki,But won't you try to play with other children?
Shinki,Yuki and Mai...
Alice,No.
Shinki,N-no?
Shinki,That straightforward?
Alice,"Also, I made a promise."
Shinki,Promise?
Alice,"It's still impossible for me right now, but one day..."
Marisa,Right?
Marisa,Hourai?
Alice,Uhh...
Alice,Unn...
Alice,Ow!!
Marisa,Don't overexert yourself.
Marisa,It's not often I see you with grave injuries.
Alice,Marisa?
Marisa,Yo!
Marisa,"It was hard carrying you here, you know?"
Marisa,"We were both drenched, see..."
Marisa,So. What happened?
Marisa,"Normally, you wouldn't fight until you become like that, right?"
Marisa,And even during that downpour...
Alice,...
Marisa,"Well, if you don't wanna talk, that's fine."
Marisa,But don't try to move needlessly.
Marisa,"Unlike you, I'm a bit more clumsy."
Marisa,The bandages may come off.
Marisa,"Well then, see you later."
Marisa,"Man, that's some considerable damage she took..."
Shanghai,Marisa!
Shanghai,How's Alice?
Marisa,"Physically, she's fine."
Marisa,"What I'm talking about, is mentally."
Marisa,"What happened, Shanghai?"
Alice,Kya!!
Medicine,Alice.
Medicine,You and I cannot be friends.
Alice,W-why?
Alice,I won't hurt you!
Alice,Believe me!!
Medicine,"Asking one-sidedly, can that be called 'friendship'?"
Medicine,Yuuka!!
Yuuka,"I've come to pick you up, Medi."
Medicine,But these girls...
Yuuka,"There's no need to forcibly take them with us, let's do it next time."
Alice,Wha- What are you talking about?
Alice,"Do you know her, Yuuka?"
Alice,Didn't you say so before?
Alice,That you didn't know any autonomous doll?
Yuuka,I wasn't lying.
Yuuka,This girl is a doll who became a youkai after being thrown out by humans.
Yuuka,She's not a doll which was made to be autonomous.
Hourai,A.. Youkai?
Yuuka,That's how it is.
Yuuka,"Medi, let's go."
Alice,Wait!
Yuuka,Still have something to say?
Alice,It's okay...
Alice,That's right...
Alice,It's fine if she's a youkai...
Alice,Medi?
Alice,Isn't your arm still broken?
Alice,"And your clothes are drenched and muddy, right?"
Alice,I'll fix you right up... ok?
Alice,"Come, let's go into my house!"
Yuuka,Hey...
Alice,Yuuka shut up!!!
Alice,The person who threw you away is the worst right?
Alice,"You're so cute, and yet..."
Alice,"But, I will take care of you..."
Alice,I can also make new clothes for you....
Alice,"What's more, you'll have plenty of doll friends-"
Hourai,Stop it...
Hourai,Stop...
Hourai,"It's enough, Alice..."
Alice,Hourai?
Shanghai,Sis...
Hourai,"You're acting strange Alice, what happened?"
Hourai,This kind of Alice is-...
Alice,How are you doing this?
Yuuka,What do you mean?
Alice,"Well, she's the one..."
Alice,"Who's controlling Hourai, right?"
Alice,There's no way Hourai could talk.
Alice,No...
Alice,"Even if she could somehow speak temporarily, she would never say these things."
Alice,That's because Hourai is...
Alice,She's my...
Yuuka,You're unbelievable!
Yuuka,You don't understand a single thing do you?
Alice,Ku!
Alice,Isn't this too sudden?
Alice,Come!!
Alice,Shanghai! Hourai!
Alice,Wha-?
Alice,Hourai!!
Alice,You should cool your head down a bit Alice.
Yuuka,Fuu.
Yuuka,"So, let's go, Medi."
Medicine,Yeah.
Yuuka,"Ah, one more thing."
Shanghai,Sis!!
Shanghai,Alice isn't-!!
Hourai,Shanghai...
Hourai,Call Marisa...
Marisa,I see... that was terrible.
Shanghai,"But aside from me, my sister..."
Marisa,"Oh yeah, where is she?"
Shanghai,I saw her in the garden a while back.
Marisa,She's not here.
Shanghai,Sis!!
Cirno,Wagya!
Marisa,Cirno!?
Cirno,Ma-marisa?
Marisa,"What's wrong, what are you doing here?"
Cirno,"Someway, somehow..."
Cirno,"When we were playing hide and seek, it started moving!"
Marisa,Huh?
Marisa,What started to move?
Cirno,Well...
Shanghai,"Ma... Marisa, over there!"
Marisa,Huh?
Marisa,Ahavaaa
Marisa,Patchouli!!
Patchouli,You're so noisy.
Patchouli,"What do you need, Marisa?"
Marisa,Things have gotten out of hand!
Marisa,Come with me!!
Patchouli,Out of hand?
Patchouli,Give me a bit more of an explanation...
Patchouli,"It's about the Forest of magic, huh?"
Patchouli,Remi.
Remilia,"She's right, seems things are turning bad."
Marisa,You know?
Patchouli,What do you mean?
Remilia,A strange clump of magic is moving from the Forest of Magic.
Remilia,"And along it's path, it seems plants and animals have started acting strangely."
Hourai,Zhee
Marisa,Hourai?
Patchouli,Hourai?
Patchouli,What happened to her?
Marisa,No time to explain right now.
Marisa,Remilia!
Marisa,Do you know where she's heading?
Remilia,How could I know?
Remilia,Didn't you already examine her?
Marisa,I see...
Marisa,Thanks!
Patchouli,Remi...
Patchouli,What's going on?
Remilia,"That's what I want to know too, but..."
Remilia,Seems that Mana Belt is something my powers can't affect.
Patchouli,Then you mean...
Remilia,Yeah...
Remilia,This is something greater than we thought.
Alice,What do you mean the bandages might come undone?
Alice,"They're so tight, it's hard to move!"
Alice,"Shanghai, bring me my cape."
Shanghai,Shanghai.
Alice,"Hourai, my ribbo-..."
Hourai,Stop this already.
Alice,Oh... right...
Alice,"Hourai, was that really you?"
Alice,I was rejected by Medi.
Alice,And reprimanded by Yuuka.
Alice,"And you too, Hourai..."
Alice,"But, I couldn't help it..."
Alice,I've always been searching for it!
Alice,Always always always!
Alice,Just  when I thought it was withing my grasp...
Alice,Why?
Shanghai,Alice.
Shanghai,Calm down and listen to me.
Alice,Shanghai... ?
Shanghai,There's one thing I want you to tell me.
Shanghai,Do you resent her?
Alice,There's no way that I do!
Shanghai,Then let's talk.
Shanghai,"About Shanghai, Hourai and Alice's precious friends..."
Yuuka,Fuu~
Yuuka,Drinking tea under the blue sky is the best!
Yuuka,Though I feel bad for a certain vampire.
Medicine,Yuuka.
Medicine,Was it alright to leave those girls alone?
Yuuka,It's fine.
Yuuka,"Though, it seems like this is the end of our tea time."
Hourai,Yuuka!!!
Yuuka,"Oh my, you've advanced further than I thought."
Yuuka,You look just like a human.
Hourai,You'll tell me the truth... right?
Yuuka,Come visit me...
Yuuka,If you're interested in knowing what you are.
Hourai,What am I?
Hourai,Am I a youkai too?
Yuuka,Calm down.
Yuuka,It's not that I'm certain of this.
Hourai,That's not what you told me!
Yuuka,Be patient for a bit longer.
Yuuka,"That is, until all the players have assembled..."
Hourai,Players?
Marisa,Hourai!!
Hourai,Mari-sa...
Marisa,Well this is... I'm surprised
Marisa,You got so tall
Hourai,What do you want from me.
Marisa,Return to Alice's side.
Marisa,She's pretty sad you know?
Hourai,That's a lie.
Hourai,"It doesn't matter, if she loses one doll."
Hourai,"Rather, isn't she really happy right now?"
Hourai,She's found a lead to her dream of a self-moving doll after all!
Marisa,You...
Hourai,"I came to understand, that Alice only calls someone her friend when it's convenient for her!"
Marisa,Don't stop me Yuuka!
Yuuka,No.
Yuuka,You're not the one who is supposed to fight her.
Alice,Hourai!!!
Hourai,Alice!?
Alice,Shanghai said... you'll definitely be here.
Shanghai,Sis!
Alice,She told me everything...
Alice,"About her clothes, and the letters..."
Hourai,I don't care...
Alice,I'm sorry!
Hourai,Stop it...
Alice,"Please, come back, Hourai!"
Hourai,I said stop it!!
Hourai,I don't need friends anymore!!
Hourai,I won't believe your insincere words!
Shanghai,"You're wrong, sis!"
Hourai,Shut up!
Hourai,Alice... I hate you!
Alice,I though of doing anything to create an autonomous doll...
Alice,That was... for our promise...
Hourai,Promise?
Alice,But that was wrong.
Alice,I realized I've lost many things and my words didn't even reach you.
Alice,That's why I'll convey my feelings to you my own way!
Alice,So we can go home together!
Alice,You may say it's selfish...
Hourai,Alice.
Hourai,"You said so yourself, words won't reach me."
Hourai,Then show me.
Hourai,I'll beat them down and we'll forever part ways!
Alice,"Let's go, Hourai!"
Hourai,"Come, Alice!"
Marisa,"Alice, Hourai!"
Marisa,Damn!
Marisa,Why did it turn into this!
Yuuka,Isn't it rude to jump into the middle of a battle?
Marisa,Don't screw around!
Marisa,Alice is heavily injured!
Yuuka,"She brought this upon herself, right?"
Marisa,What are you planning?
Yuuka,Who knows?
Yuuka,"If you want to ask, you know what to do, right?"
Marisa,"Fine, then just as you wish, I'll make you tell me after your face is all beaten!"
Hourai,"You haven't improved, Shanghai."
Hourai,Uaah!!!
Hourai,Alice!!
Hourai,God dammit!
Alice,"That's not all you have, right?"
Hourai,Hmph...
Hourai,"Of course, this is just the beginning!!"
Yuuka,What's up with this danmaku?
Yuuka,They're just like rain drops!!
Yuuka,"It's fine to use the stronger ones, you know?"
Marisa,Tsk!
Marisa,Then how about this?
Yuuka,'Earth Light Ray'
Yuuka,"No good from the front, so you attack from the back?"
Yuuka,Isn't this too simple minded?
Yuuka,"Now it's my turn, be sure to dodge properly."
Yuuka,Hmph...
Yuuka,"What kind of magic was that, I wonder?"
Marisa,"What, just a simple magic trick."
Yuuka,I see...
Yuuka,"'Illusion Star', a simple illusion."
Yuuka,I was completely fooled.
Marisa,"Hey, it's already this far into the game, but do you think physical attacks can be in a danmaku battle?"
Yuuka,"Yeah, but well..."
Yuuka,They are not elegant.
Marisa,Really?
Yuuka,Is this a smoke screen?
Marisa,Alice!!
Yuuka,Tsk!
Yuuka,Wait!!
Marisa,Psyche!!
Marisa,You said physical attacks were fine... right?
Alice,Hourai.
Alice,"You're holding back, aren't you?"
Hourai,I'm not!
Alice,All her attacks barely miss me...
Alice,Hourai!
Alice,Then this will be the end...
Alice,Shanghai.
Shanghai,Yes.
Alice,'Curse Sign: Shanghai Doll'!
Hourai,'Malediction: Hourai Doll'!
Alice,A spell card?
Hourai,What...
Hourai,What was that?
Hourai,Alice!!
Hourai,T-this is...
Shanghai,"Alice, she was crying as she held that."
Hourai,Shanghai...
Shanghai,She said she couldn't hand that over to you anymore.
Shanghai,That she was sorry for hurting you...
Hourai,How stupid...
Hourai,I can no longer wear something this small?
Alice,"Then, we can just remake them however many times as we need."
Alice,Just like how you made Shanghai's clothes.
Alice,"Please, come back Hourai."
Hourai,Ali-
Yuuka,It's not over yet.
Patchouli,Just now...
Remilia,You felt it too Patche?
Patchouli,"So we were outwitted, huh?"
Remilia,Hm? are you going?
Patchouli,Yes.
Patchouli,"One would feel mortified being tricked like that, right?"
Marisa,Hou... rai!!
Yuuka,"Before, I was talking about what you really were."
Yuuka,That spellcard you activated gave me the clarification I needed.
Yuuka,Seems everyone has forgotten.
Yuuka,No.
Yuuka,"It's better to say, it was removed from everyone's memory."
Yuuka,So you still haven't realized.
Yuuka,"Can't even remember, that thing you always held so close to you?"
Alice,No way...
Yuuka,That's why I couldn't find you even if I searched Alice's whole house!
Yuuka,This is where you were!
Yuuka,Grimoire!
Yuuka,Did I fail?
Marisa,"That was close, by a hair."
Marisa,But what's going on over there?
Marisa,does this means Hourai absorbed the Grimoire?
Yuuka,The other way around.
Yuuka,It's bette3r to say the Grimoire used Hourai to hide itself.
Yuuka,"Taking it's owner's ambition, it tried to give form to an autonomous doll and lost control."
Marisa,And it arbitrarily changed our memories?
Yuuka,That's how it is
Yuuka,"I tried to re-seal the Grimoire before it's seal became undone, but I failed."
Yuuka,And we have to do something about this over here too.
Marisa,Whaa?
Marisa,Well this-
Alice,Marisa.
Alice,I'll leave that to you.
Marisa,Alice?
Yuuka,Wait! You can't do anything alone!
Alice,I'm not alone.
Alice,"Also, Hourai is there."
Alice,"Hourai, I'll surely stop you!"
Alice,Come! Hourai!
Alice,"Are you okay, Shanghai?"
Shanghai,"Y-yes, somehow!"
Alice,"Such fire power, but, I got her!"
Alice,Concentrate!
Alice,'Trip wire'!
Alice,Yes! Just like that and-
Alice,"No way, with strength alone?"
Alice,"Just now, her movements were sluggish..."
Alice,Listen to me Hourai.
Alice,You're a strong girl.
Alice,You won't even lose to the Grimoire!
Alice,Overcome it.
Alice,You're coming home with me!
Alice,'War Command: Dolls War'!
Marisa,"Woah, what's going on?"
Marisa,This is the first time I've seen Alice like this.
Yuuka,"Perhaps, that girl has finally realized what it means to be serious in something."
Marisa,What do you mean?
Yuuka,"You already know, don't you?"
Yuuka,"That's why she came here today, right?"
Marisa,Quit beating around the bush and tell me!
Yuuka,"For someone she can become so serious other than herself, and that is for a friend."
Alice,Hey hey listen!
Alice,I've decided!
Alice,"You are Hourai, Hourai!"
Alice,You will be my friend from now on!
Alice,Best regards!
Alice,"No good, huh?"
Alice,"You know, everyone treats me nicely."
Alice,They say I'm special.
Alice,But!
Alice,"Studying, talking and playing together that is arbitrarily given to me."
Alice,There isn't anyone who will see eye to eye with me.
Alice,N one to give me the same feelings as I give.
Alice,That's why...
Alice,I'll show you I can make it come true!
Alice,I'll give you... a heart!
Hourai,"Alice, stand back!"
Alice,Hourai?
Alice,What are you saying!
Alice,You're in a worse state than I am!
Alice,This is because of my selfish wish!
Hourai,"You're wrong, Alice."
Hourai,"When the Grimoire went inside me, I understood."
Hourai,What the Grimoire gave form to wasn't Alice's wish.
Hourai,It was my wish!
Alice,Hou... rai.
Hourai,Sorry...
Hourai,Sorry that I said I hated you...
Hourai,I love you!
Alice,I also love you too Hourai!
